,userid,stars,date,review_head,review,product,product_link
0,Wayne R.,5,02/27/20,"Great product, great company!","I loving buying stuff from Etiko. I know the product will always be first class but, more importantly, I know that no-one is getting ripped off! :-)","On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
1,Sommer M.,5,02/25/20,Good for wide feet,My size 7 foot meaures 9.5 cm across the widest part so I really expected I would be sending these shoes straight back. But they fit and my bones don't get squashed up and they are a comfortable walking shoe.,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
2,Ahyoung P.,5,02/19/20,comfortable and love the colour,comfortable and love the colour,On Sneakers Lowcuts (Kids) Olive Organic Fairtrade,https://yotpo.com/go/ywfzqnlu
3,Rebecca B.,5,02/12/20,comfy and cool.,"I'm really happy with these shoes. Quality of them is great and they are comfy, even for the large amounts of walking that I do. I've only had them for just over a month, so time will tell if the quality stands true, but they were instantly comfy and no breaking in required. So far, so good.",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
4,Perry S.,5,02/12/20,Great formfemale bodied folk too!,"I'm a womens size 6/8, and i wear the XS as highwaisted underwear, for around the house, even dancing in. Siper comfortable, durable, holds their shape with tireless use, rnough elastic to stay on but not cling likes womens briefs. Would love to see these in more colours!",On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
5,Kate W.,5,02/10/20,Great to support the environment!,"Very comfy, good quality.","On Bikini, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/wMYbYKke
6,Tim B.,5,02/09/20,Very Satisfied,"So comfortable, look good and the bonus of supporting communities in need and small business. I’ll be back:)","On Bikini, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/wMYbYKke
7,Natalie I.,5,02/08/20,Comfy and warm and the,Comfy and warm and the material feels cleaner than the non ethical substitutes. Favourite piece of clothing and brand now.,On Unisex Black Crew Neck Organic Fairtrade,https://yotpo.com/go/3wD8gNdR
8,Sarah O.,5,02/04/20,"Nice shoes, comparable to other","Nice shoes, comparable to other similar brands, and I love that they’re fair trade!",On Sneakers Hitops White Organic Fairtrade,https://yotpo.com/go/ocReIg8z
9,Tim D.,5,02/03/20,Flippin Fantastic Flip-Flops,This is my third pair of Etiko thongs and I love them. I also feel great that they are compostable when their time on my feet are done 😁,On Natural Rubber Thongs - Free the Bears,https://yotpo.com/go/sN41iCQc
10,Sara G.,5,02/01/20,Super comfy and look great,I bought these for my partner. He told me they were very comfortable and fit well. I can attest they looked great 😅,"On Trunks, Black, Organic & Fairtrade",https://yotpo.com/go/6ni3rAwz
11,Hayley C.,5,02/01/20,Etiko forever,"Love, love, love these shoes! I will always have at least one pair in my wardrobe! Thank you for an earth friendly option.",On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
12,Erenie H.,5,01/29/20,Excellent product AND customer service!,"I messed up my order and purchased the wrong size sneakers. Staff were very understanding and super friendly and got the correct size sent to me in no time! Very happy, will be shopping with Etiko again!",On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
13,Cecilia W.,5,01/28/20,We've had a lot of,We've had a lot of fun with the ball. Really good quality.,On Mini Ball (yellow),https://yotpo.com/go/Auei15oD
14,Chloe K.,5,01/26/20,Best thongs you can buy!,My previous 2 pairs of Etiko thongs were so comfy I wore them right down to holes in the soles (which took years!). Once tried and tested there's no going back (or anywhere else). Best thongs you can buy for comfort and long-wearing. And they support the environment so what could possibly be better?,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
15,Holly H.,5,01/24/20,"Comfortable, Good Quality Thongs",I have had these thongs since they originally came out and they are still comfortable and completely intact. I would definitely recommend these thongs.,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
16,Lavina C.,5,01/09/20,Great sneakers,"Like the minimalist style & proud to wear!
Great service by Etiko over the busy Christmas period and ensuring the sneakers got to us on time.",On Etiko Hemp Sneakers All Black,https://yotpo.com/go/kcWnWUsa
17,Asher G.,5,01/06/20,Great hoodie!,"Great sizing, soft, looks awesome.",On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
18,Emma W.,5,01/06/20,Brilliant,"So soft, perfect fit and looks great - gifted for Xmas, love the etiko ideology, keep making the great stuff",On Unisex Bear Black Tshirt Organic Fairtrade,https://yotpo.com/go/6VPlP3lB
19,Zac B.,5,01/03/20,Cheeky red snekz,"Really comfortable, simple make, nice purchase.
I had to go a size up to UK 12, and now they fit beautifully",On Sneakers Hitops Red Organic Fairtrade,https://yotpo.com/go/z2eDREXt
20,Brienen S.,5,01/02/20,Love these.,Super soft but strong.,On Natural Rubber Thongs - Animals Australia,https://yotpo.com/go/a4APm7JX
21,Paul H.,5,01/02/20,Awesome Hitops!,"These Hitops are so comfortable, and are so well made. I love the colour... I am looking forward to getting another pair!",On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
22,Lauren C.,5,12/30/19,Love the beard,"This tee fits well - it’s nice and long and super comfy. It’s also really soft! The colour and print are lovely too. Great quality, all round.",On Unisex Charcoal Zoo Beard Print Organic Fairtrade Tee,https://yotpo.com/go/q4dawKyD
23,Eve C.,5,12/30/19,Perfect gift,"These thongs are awesome. The whole family have a pair each and we get them each year for Christmas gifts, picking a different animal to support each time.",On Natural Rubber Thongs - Long-Neck Turtle,https://yotpo.com/go/1RHUTEvi
24,Beatrice H.,5,12/19/19,"Wonderful product, wonderful service!","I am loving my first pair of Etiko Shoes, after eyeing them off for a little while due to their ethos, I initially bought the wrong size but the Etiko team were super helpful and I’ve now got the right size, and they’re perfect!!",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
25,Alex H.,5,12/15/19,Great thongs,"Great design, excellent initiative, well made",On Natural Rubber Thongs - Mimih Spirits,https://yotpo.com/go/byBkKbp9
26,Doyle M.,5,12/13/19,Great Underwear,Just yesterday I was thinking that pair of undies is the most comfortable pair I own! I love my Etiko underwear trunks! You should get some.,"On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
27,William G.,5,12/12/19,Cozy,"Cozy, durable, no problems.",On Unisex Navy Hoodie Organic Fairtrade,https://yotpo.com/go/305daoe1
28,Camilla F.,5,12/11/19,Great pants,"My partner loves this Etiko underware, super comfortable and love this colour. The only downside is that you can’t put them in the clothes dryer. We learnt this the hard way eek",On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
29,Nicholas J.,5,12/09/19,Natural Rubber Thongs,"My Etiko natural rubber thongs are super comfy and look great.
It seems crazy to pay $30 for other rubber thongs, knowing that the producers get very little of that amount.
I won’t be buying thongs that don’t give a fair price to the farmers from now on.",On Natural Rubber Thongs - Save the Children,https://yotpo.com/go/d5bM882m
30,Megan C.,5,12/08/19,Amazing!,Amazing!,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
31,Carynda H.,5,12/08/19,So comfy,Love my sneakers! Comfy and look great. I’d ordered the wrong size but found the return experience very easy. Being an ethical purchase just tops off the whole Etiko experience.,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
32,Chloe G.,5,12/02/19,Love it!,"They are really comfy and dont hurt my feet. They were really stiff at first, still a little bit but theyre getting better just have to wear them in. Im really glad i could find a more ethical shoe :-) thank youu",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
33,Michelle P.,5,12/02/19,LOVE THESE SHOES,I LOVE these shoes. I actually can't believe how comfortable they are underfoot compared to same style in other brands. I've worn them almost daily since buying them. I'll be a repeat customer for sure.,On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
34,Su B.,5,11/27/19,great hoodie,great comfortable soft hoodie,On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
35,Melody L.,5,11/22/19,LOVE,"More comfortable than converse, because there is just a bit more arch support, but the classic style I was looking for. The best part, though, is knowing that the people who make them are well taken care of.",On Sneakers Lowcuts Red Organic Fairtrade,https://yotpo.com/go/oepHMeX5
36,Octavio C.,5,11/18/19,Natural Rubber Thongs,Amazing thongs!!!. I definitely will buy another ones. Great material.,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
37,Hannah,5,10/30/19,Feels great,"Comfy, cool shoe and great to be supporting an ethical company. Used the measurements on the website and chose a bigger size however slightly big now so will stick to my usual size next time.",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
38,Christian N.,5,10/19/19,"Amazing product, service and delivery.","Amazing product, service and delivery. The delivery packaging was even re-useable and compostable. Etiko have it all worked out! I wish all companies carried their ethics into their business practices so completely. Cheers Etiko!",On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
39,Melissa L.,5,10/16/19,Pretty comfy!!,These are a great shoe. Pretty damn comfy & pretty good looking too :),On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
40,Elizabeth S.,5,10/15/19,Always very happy with my,Always very happy with my etiko purchases. Thank you,"On Full Brief, Latte, Organic & Fairtrade",https://yotpo.com/go/oVxKmQU7
41,Brett H.,5,10/14/19,Hitops White,"Etiko sneakers are the only sneakers I wear. I own the black and red and the whites did not disappoint! Comfortable, ethical and they look rad.",On Sneakers Hitops White Organic Fairtrade,https://yotpo.com/go/ocReIg8z
42,Maureen C.,5,10/09/19,Really comfy undies,Best full brief undies yet. Fit well and sizing is good. Very comfortable to wear. Will buy more!,"On Full Brief, Pink, Organic & Fairtrade",https://yotpo.com/go/upksgfaN
43,Emma C.,5,10/07/19,Comfortable and good fit,"On first wear these shoes felt a little stiff, but they quickly became more comfortable / softer as I wore them around the house and then outside. They fit well on my size 9 AU and fairly wide feet, and were good value for the quality and their fair trade credentials. Will definitely be looking at buying more Etiko shoes in the future.",On Etiko Ballet Flats,https://yotpo.com/go/es2TWrTm
44,Marie L.,5,10/05/19,I absolutely love it.,This zip hoodie won’t disappoint! It’s comfy. It’s warm. The material feels beautiful. I think I need another one. This is my second one. X,On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
45,Waiyan N.,5,10/02/19,awesome hoodie,"very happy, comfortable and warm 😁",On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
46,Nicole B.,5,10/01/19,Amazing quality,"They arrived quickly, the packaging kept the shoes safe so that they arrived in perfect condition, they look remarkably like converse but are so much more comfortable to wear because of the inner arch support. They're really great for leg exercises because of the non compressive sole. Couldn't be happier with them :)",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
47,Josh R.,5,09/19/19,"Comfortable, Durable, & Ethical","These trunks are comfortable and are showing little signs of wear after several months of use. Most importantly, they are fair trade and made from organic cotton.",On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
48,Susie L.,5,09/18/19,Love these!,These shoes make me feel good on the inside. Oh and they are SO comfy too.,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
49,Mariska c.,5,09/18/19,best thongs ever,"I walk on these thongs for a couple of years now and except that the dogs like to chew on them sometimes, they are the most comfortable thongs I have ever had. You really feel the difference walking on rubber in stead of plastic.",On Natural Rubber Thongs - Save the Children,https://yotpo.com/go/d5bM882m
50,Luke H.,5,09/17/19,Great bag is strong and,Great bag is strong and light and is able to be used over and over again,On Organic Fairtrade Shoulder Bag,https://yotpo.com/go/acwESEtd
51,Diana M.,5,09/17/19,Perfect!,Bought these for my daughter's birthday & her face just lit up when she opened the box. Great fit (much better than their commercial counterpart she tells me!) and one happy daughter :-),On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
52,Maureen P.,5,09/17/19,great shoes comfortable and perfect,great shoes comfortable and perfect fit.,On Etiko Slip On Black & White,https://yotpo.com/go/j1nhEsU2
53,Connie V.,5,09/17/19,"Ethical, Comfortable, Good Service",The shoes I ordered came very promptly. I've been wearing them ever since they arrived. It's so good to know there is an option of footwear that doesn't compromise the freedoms and rights of other human beings. Buy these shoes with confidence!,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
54,Paula J.,5,09/15/19,Love my Etiko runners,These runners are awesome. Look great. Feel great and love that it’s an ethical choice,On Sneakers Lowcuts Red Organic Fairtrade,https://yotpo.com/go/oepHMeX5
55,Sarah F.,5,09/11/19,Perfect!,Perfect fit and just a the pictures show. Great shopping experience from start to finish,On Sneakers Hitops Blue Organic Fairtrade,https://yotpo.com/go/6na2xRJL
56,Tracey P.,5,09/10/19,Super comfy and love the ethics behind these shoes!,"Comfortable, great price, quick delivery, and good for the planet. Thanks!",On Sneakers Lowcuts Red Organic Fairtrade,https://yotpo.com/go/oepHMeX5
57,Thomas D.,5,09/10/19,Unisex Grey Hoodie organic fairtrade,"It cam very quickly, in good condition and as ordered.
Thank you, I will order again :)",On Unisex Grey Hoodie Organic Fairtrade,https://yotpo.com/go/gyuIlNbk
58,Andy M.,5,09/04/19,Shoe is Goooood!,LOVE my Fair-trade Low-cut All Black Etikos! Super comfy. Delivery was heaps quick and secure. Get in!,On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
59,Alex N.,5,09/02/19,Black Trunks,"Love 'em. Sizing was a bit odd at first as they don't correspond to other brands.
Total gems though!","On Trunks, Black, Organic & Fairtrade",https://yotpo.com/go/6ni3rAwz
60,Luke O.,5,08/24/19,hood,is great,On Unisex Black Hoodie Organic Fairtrade,https://yotpo.com/go/m6oiIX9D
61,Angela F.,5,08/23/19,Excellent product and service,"The product is exactly as described, excellent quality. Delivery was swift and without a hitch.",On Etiko Hemp Sneakers All Black w/ Hemp Logo,https://yotpo.com/go/ulBnQWp3
62,Erin J.,5,08/20/19,Very happy,I’m very happy with my black hitops - have barely gone a day without wearing them since I received them! They’re comfy and look and fit great. Would definitely recommend!,On Sneakers Hitops Black & White Organic Fairtrade,https://yotpo.com/go/6HBqlVxL
63,Richard B.,5,08/19/19,Great products,I'm a taller guy and these T-shirts fit great. Very happy,On Tshirt Unisex Blank Charcoal Organic Fairtrade,https://yotpo.com/go/8HnGND0c
64,Jodie D.,5,08/15/19,Best shoes ever,Look great and help. Awesome,On Sneakers Hitops Red Organic Fairtrade,https://yotpo.com/go/z2eDREXt
65,Grace C.,5,08/06/19,"Looks great, feels comfy",Love the built in arch support. Size runs true to slightly large. My feet are a little in the wider side and they are comfortable. The look great too!,On Sneakers Hitops Black & White Organic Fairtrade,https://yotpo.com/go/6HBqlVxL
66,Maria M.,5,08/06/19,"Nice fit, quality cotton.","I bought two t-shirts for work. They’ve washed well. Cotton is great quality and the style is a nice fit. Not too fitted, not to loose. The neckline isn’t too scooped or too high. Will be buying more. So glad I can get some organic fair trade.",On Womens White Organic Fairtrade Tee,https://yotpo.com/go/rhzL51Pd
67,"Lennon, V.",5,08/06/19,Awesome shoes!,"Don’t think twice, buy from this company. Awesome shoes and awesome ethics.",On Sneakers Hitops Red Organic Fairtrade,https://yotpo.com/go/z2eDREXt
68,Marjorie J.,5,08/05/19,Etiko slip on,"Everything I hoped for, super comfortable, great quality and ethical! Great purchase.",On Etiko Slip On Black & White,https://yotpo.com/go/j1nhEsU2
69,Scott W.,5,07/23/19,Awesome,"So comfy, strong, reliable, amazing product :-)",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
70,Laura B.,5,07/22/19,Comfy,These are nice and comfy and quick to slip on and off. They are looser fitting than the Etiko canvas sneakers and slip off a little. Maybe I should have got half a size down...,On Etiko Slip On Black & White,https://yotpo.com/go/j1nhEsU2
71,Alex W.,5,07/09/19,Great fit,This shirt is a great fit and came exactly as described. It breathes well and I haven't had any problems with the colours running or getting strange marks as can often happen with black clothing,On Unisex Black Long Sleeve Organic Fairtrade Tee,https://yotpo.com/go/s8EJsIE0
72,Tim O.,5,07/08/19,Olive Hitops,"Happy with my purchase. Glad to be supporting fair trade, vegan, and sustainable employment",On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
73,Joanne C.,5,07/08/19,Very comfortable and lovely fit,Very comfortable and lovely fit,"On Boyleg, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/4NYJSirM
74,Dane C.,5,07/07/19,Rubber thongs,Very comfortable to wear compared to other thongs,On Natural Rubber Thongs - Free the Bears,https://yotpo.com/go/sN41iCQc
75,Ros P.,5,07/07/19,Bikini,Love them. They are very comfortable.,"On Bikini, Latte, Organic & Fairtrade",https://yotpo.com/go/g4W5F5Go
76,Bernie C.,5,07/06/19,Best t-shirt I’ve ever worn,Great fit and feel. I need to buy more of these,On Tshirt Unisex Blank White Organic Fairtrade,https://yotpo.com/go/c0Nh8V7B
77,Carrie P.,5,07/06/19,Kid's t-shirt,"This t-shirt is made from the softest fabric, really well constructed and good quality so I'm confident it will get a lot of wear and be passed through several children! Love that it's Fair Trade and feel so much better about paying a fair price for it, unlike so many of the other kid's t-shirts on offer in the big stores. Thank you Etiko!",On Tshirt Kid's Blank Red Organic Fairtrade,https://yotpo.com/go/diO9rWKQ
78,Jayne P.,5,07/06/19,Outstanding service,I had a small problem with my delivery address and the helpful team at Etiko quickly assisted in redelivery. The t-shirt is excellent. Thank you!,On Tshirt Unisex Wear No Evil Black Organic Fairtrade,https://yotpo.com/go/kA8YM45S
79,Bambi P.,5,07/06/19,Great sneakers.,"Comfortable sneakers and great to know we are supporting needed communities and not wearing animal.
Great customer experience also",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
80,Jan H.,5,07/05/19,Comfy knickers,"I really like these knickers, they're comfortable and the colour is great.
Thanks Etiko.","On Bikini, Latte, Organic & Fairtrade",https://yotpo.com/go/g4W5F5Go
81,Meg H.,5,07/05/19,B Corp month tee,"Good fit, well made, cool motif.",On B Corp Month T Shirt (Women's/Black),https://yotpo.com/go/bj0PlZM9
82,Allison B.,5,07/04/19,Arrived promptly and good quality,"I bought these sneakers as a last minute gift for my partner's birthday. They arrived quickly, look exactly as pictured on the website, and appear to be of good quality -- plus I love knowing my purchase has helped support communities with fair trade. Would definitely shop again.",On Sneakers Lowcuts Red Organic Fairtrade,https://yotpo.com/go/oepHMeX5
83,Amber Y.,5,06/30/19,Seriously comfy!,Love these so much! Definitely recommended 😊,On Etiko Hemp Sneakers All Black w/ Hemp Logo,https://yotpo.com/go/ulBnQWp3
84,Justine S.,5,06/22/19,Quality Basic,I was tired of buying cheap basics that after a few washes were only able to be used as pyjama tops. I love my Etiko long sleeved tees. I sized down for a snug fit to wear under my dresses ect for Melbournes winter. They are brilliant. They’ve washed well. I’ll be back for more!,On Womens Grey Marle Long Sleeve Organic Fairtrade Tee,https://yotpo.com/go/7OboORjx
85,Shane Y.,5,06/21/19,Awesome shoes,Great shoes !! Super fast delivery really happy,On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
86,Bhagyashri B.,5,06/18/19,Great shoes,The shoes are comfortable and look really great. The fit is true to size. The shipping was hassle free and they arrived fairly quickly. I feel good about wearing them.,On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
87,Jessica M.,5,06/17/19,I love them,"I got these because they were ethically made but it helps that they’re so comfortable! They are just so good. This style in other brands usually hurts the front of my foot where the rubber toe cap is but I don’t know, this is a tiny bit wider? More flexible? I don’t know why but it’s the first shoe like this I haven’t had horrendous painful feet a...Read More
Read more about review stating I love them",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
88,Kat W.,5,06/16/19,Exactly what I was looking for,"Love these shoes, they are comfy, stylish and vegan and even have a bit of arch support so they don't kill your feet like other styles. The shoes are exactly as pictured, sizing was as the chart (I'm a ladies 41/42 and the UK 8 worked perfect for me) and delivery was fast. I will definitely buy more from Etiko in the future as these are my favouri...Read More
Read more about review stating Exactly what I was looking for",On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
89,Kathryn H.,5,06/14/19,Womens Navy Long Sleeve Tee,Very happy and fits perfectly!,On Womens Navy Long Sleeve Organic Fairtrade Tee,https://yotpo.com/go/tz2zdYXb
90,Miles B.,5,06/13/19,Solid shoes,"Not really much too it, they're great, fit well, and work as everyday shoes that I have a feeling will last a long time.",On Sneakers Hitops Black & White Organic Fairtrade,https://yotpo.com/go/6HBqlVxL
91,Rob C.,5,06/11/19,comfy and great!,comfy and great!,On Unisex Navy V-Neck Organic Fairtrade Tee,https://yotpo.com/go/1CzwhC6M
92,Georgia G.,5,06/11/19,Unisex Grey Hoodie Organic Fairtrade,Comfiest hoodie I've ever owned! Such good quality & long lasting materials. Love it!!,On Unisex Grey Hoodie Organic Fairtrade,https://yotpo.com/go/gyuIlNbk
93,Nerida N.,5,06/11/19,I love my jocks,They are very comfortable. I like the pouch in the front.,"On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
94,Felicity C.,5,06/10/19,Awesome hoodie!,"Super comfortable, soft, cosy, great fit!",On Unisex Grey Hoodie Organic Fairtrade,https://yotpo.com/go/gyuIlNbk
95,Mitchell B.,5,06/08/19,Great shoes,Love the shoes. I'm very proud to be wearing shoes which have been ethically made and no harm to animals. Keep up the good work Etiko 😊,On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
96,Francesca L.,5,06/03/19,so comfortable!!,I just tried my new Etiko sneakers and they are absolutely comfortable!,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
97,Amiuus L.,5,05/21/19,Green Spider-Man!,"The shoes arrived and my son put them on in a flash, walked up the wall and onto the ceiling to catch a fly for his pet fish. He says they have amazing arch support and they help
him dream of a future where the liberal party are not in power....",On Sneakers Lowcuts (Kids) Olive Organic Fairtrade,https://yotpo.com/go/ywfzqnlu
98,Dawn D.,5,05/19/19,Good sneakers. No problems. Shipping,Good sneakers. No problems. Shipping to NZ was pretty quick. Sizing was good.,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
99,Cathy N.,5,05/19/19,Good quality and the sizing,Good quality and the sizing was correct. Held its shape in the wash. Very happy 😁,On Womens Black Organic Fairtrade Tee,https://yotpo.com/go/zsKPGyGi
100,Jennifer S.,5,05/18/19,"Great product, great service",My sneakers were delivered promptly. They feel good (really like the arch support) and look good. My daughters say so and they always tell me the truth 😌. Feeling good about my ethical spend!,On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
101,Elise V.,5,05/18/19,Comfy from the first wear.,"I was a bit nervous about my Etiko shoes, because I'd had to return a pair of Toms as they were too narrow, and I was concerned these would be the same. Nope - really comfy straight away. They still took a little bit of wearing in for longer walks, but they look great and fit well.",On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
102,Ellen M.,5,05/15/19,Great!,Great quality - glad to have this option to support fair trade (in apparel).,On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
103,Karin B.,5,05/14/19,Black bikini,Great fit. Stay in shape after wash. Comfortable. Nice soft seams.,"On Bikini, Black, Organic & Fairtrade",https://yotpo.com/go/pql9EKnE
104,Sandi L.,5,05/12/19,Excellent,Wonderfully comfortable and breathable top. Great for the gym or around the house.,On Racerback Singlet Women's Black,https://yotpo.com/go/7iAfSsds
105,Hayley,5,05/09/19,Incredible,"I have been trying to find shoes that actually fit me for years, while also trying to be aware of if things are ethically made. I gave it a chance and decided to go online and found Etiko. My first pair of shoes from online and they were perfect! I love the look and it fits my narrow foot. I loved them so much that I got a second pair for my mum a...Read More
Read more about review stating Incredible",On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
106,Margaret W.,5,05/06/19,ethical,"My recent purchase of a gift card online was a trouble free experience. It also made me feel good about doing some good for our planet.Every little bit helps.Keep up your good work.
Margaret",On Gift Card,https://yotpo.com/go/gVDgKHvR
107,Peta R.,5,05/06/19,Great quality products and service,Very happy with the items,"On Trunks, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/1dWQC2y0
108,Kevin C.,5,05/05/19,Great quality - better than Havi's,"Soft rubber - looks great and arrives in minimal packaging, which is great.",On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
109,Debbie S.,5,05/04/19,Comfortable,"Ethically soft, comfortable and well sized undies!","On Full Brief, Black, Organic & Fairtrade",https://yotpo.com/go/43e4kP2U
110,Kylie T.,5,05/03/19,"Great quality, ethical and affordable","Great quality, ethical and affordable. I buy the T-shirt’s for my young sons and they wear extremely well. My only complaint is that they aren’t always available!",On Organic Fairtrade Tshirt Kid's Blank Olive,https://yotpo.com/go/f4tkGM3u
111,Shane N.,5,04/21/19,Love it!,I absolutely love this ethical company. You've given an incredible amount of thought into seemingly every component of the high quality products you sell. Thank you!,"On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
112,Kalinda A.,5,04/21/19,Fantastic,"Great quality , support and fit, online delivery was fast and secure",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
113,Courtney,5,04/15/19,Love these!,"I’ve been on the hunt for a good organic, fair trade brand for a while now and these are my favourite so far. I’m usually an 8-10 so I got the 10 and they are a good, tight fit. If you’re usually a 10-12 I’d go with a 12. They feel really nice and they’re comfy so I will be repurchasing for sure! Reasonably priced too which is nice. I’m really str...Read More
Read more about review stating Love these!","On Bikini, Black, Organic & Fairtrade",https://yotpo.com/go/pql9EKnE
114,Flore R.,5,04/15/19,I adore them,"(Sorry my English is average)
They are great! I love them! Good fabric, beautiful finitions. Thank you.",On Sneakers Hitops White Organic Fairtrade,https://yotpo.com/go/ocReIg8z
115,Skye C.,5,04/14/19,So comfy!,My new go to ethical comfy undies! Great fit (I used the measurements as a guide) and clearly very high quality. I definitely recommend.,"On Boyleg, Black, Organic & Fairtrade",https://yotpo.com/go/pRc4ddkR
116,Michael G.,5,04/13/19,Good shoes,"Its great to have a sustainable shoe choice in australia. I appreciate they're taking their shoes back for recycling, even giving a discount. Over all Etiko is a good brand.
The shoes themselves are comfortable and can face up to other canvas shoes of the same price point.",On Sneakers Hitops Blue Organic Fairtrade,https://yotpo.com/go/6na2xRJL
117,Nicky,5,04/13/19,"Comfortable, soft & ethical",My favourite knickers as they fit well and made with soft fabric,"On Full Brief, Black, Organic & Fairtrade",https://yotpo.com/go/43e4kP2U
118,Jo W.,5,04/12/19,Love them,"I love these shoes. So comfortable, stylish and versatile enough to wear with jeans, skirts, dress pants or dresses - they work with just about everything in my wardrobe. Whether for work or leisure I'm always reaching for my etikos. And all while being better for the planet!",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
119,Lisa T.,5,04/11/19,Great product loved it,Great product loved it,On Racerback Singlet Women's Black,https://yotpo.com/go/7iAfSsds
120,Joe S.,5,04/11/19,Great feel,"Nice cool fabric, great quality",On Tshirt Unisex Blank Charcoal Organic Fairtrade,https://yotpo.com/go/8HnGND0c
121,Debra P.,5,04/09/19,Women’s white v neck organic fair trade tee,Excellent tee. The fabric is so soft and comfortable to wear. A nice loose comfy fit.,On Womens White V-Neck Organic Fairtrade Tee,https://yotpo.com/go/tr59U34Q
