,userid,stars,date,review_head,review,product,product_link
338,Nathan W.,5,12/22/16,Converse Killers!!!,"Love these shoes! They're comfortable, vegan and ethical and great to skate in and also look fantastic!! I got them quickly in the pat just in time for Xmas!! I only wear these sneakers!",On Sneakers Hitops Red Organic Fairtrade,https://yotpo.com/go/z2eDREXt
339,Erin,5,12/21/16,Get your Mr Robot on - 100% hacker approved hoodie,"Actually I know nothing about hacking but I can wear a hoodie and this is a freaking awesome one. Warm. Soft. Very well made. High Quality. Ultra Black. Generous hood (with lining). Washes well. Low key branding. In a word AHHHHMAZING.

I'm 160cm and an Australian ladies 12, I have the Medium and it's the perfect amount of oversized for m...Read More
Read more about review stating Get your Mr Robot on - 100% hacker approved hoodie",On Unisex Black Hoodie Organic Fairtrade,https://yotpo.com/go/m6oiIX9D
340,Max,5,12/15/16,awesome shirt,"It looks great, fit great and helps makes the world a better place, what else?",On Tshirt Women's Wear No Evil Black Organic Fairtrade,https://yotpo.com/go/5k4tcRsJ
341,Daniel,5,12/14/16,Comfy and hot,Slight improvement on the old ones.,On Organic Fairtrade Underwear Men's Trunks Beach Stripe,https://yotpo.com/go/dTow8nkv
342,Anonymous,5,12/13/16,Great!,"Great Shoes, Fit very well and feel extremely comfortable.",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
343,Connie S.,5,12/11/16,Excellent underwear,The Etiko underpants are comfortable and I like them as well as any other underpants I have ever purchased. The difference is that they give me mental comfort because I know they have been produced without harm to people and the planet.,On Bikini Latte Organic Fairtrade,https://yotpo.com/go/hZUmzNtw
344,Sue,5,12/10/16,Such a cutie,"I haven't quite worked out what a kitten with antlers actually means, but my daughter and I fight over this treasure. Lovely soft cotton, great styling, and very cute kitten!",On Women's Cat White Tshirt Organic Fairtrade,https://yotpo.com/go/8w4QzmnR
345,Anonymous,5,11/26/16,Flawless t-shirt,Beautiful craftsmanship,On Tshirt Kid's Blank Black Organic Fairtrade,https://yotpo.com/go/A8ZT9M3n
346,Shane,5,11/20/16,super comfy for an easy conscience :),"These thongs are super comfy. I hate buying thongs only to have that wobble while you walk so that you end up stepping on the ground and missing that thongs anyway. I also have pretty hairy feet, but they don't pull my hair or rub harshly against my skin. Besides the comfort factor, they're recycled (yay for sustainability!) AND they help kids out...Read More
Read more about review stating super comfy for an easy conscience :)",On Natural Rubber Thongs - Save the Children,https://yotpo.com/go/d5bM882m
347,Stephie3cats,5,11/10/16,great Tshirt,Especially love the ET bike in the mix!,On Tshirt Unisex Bike Fish Charcoal Organic Fairtrade,https://yotpo.com/go/6FdNRo1A
